rank,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,yolov11,0.9093090211132436,0.9014017930222634,0.9003449816016298,0.8989896459415616,0.9114913557850892,0.9093090211132436,0.908892320947779
2,efficientnetv2,0.8690019193857965,0.8542211146184144,0.8509513880875254,0.8491156577976666,0.8728593947604117,0.8690019193857965,0.8682172951815407
3,yolov8,0.8651631477927063,0.8533325302558868,0.8451506668403624,0.8482119272685761,0.8652891543849348,0.8651631477927063,0.8641488787108491
4,efficientnet_b0,0.8589251439539347,0.8478918296978444,0.8477361590566656,0.8474185747377516,0.8594545955421202,0.8589251439539347,0.8586324148461588
5,resnet50,0.4289827255278311,0.2909842700340602,0.288570306166397,0.2560071903455054,0.3911169497817511,0.4289827255278311,0.3675735025898423
6,vgg16,0.1108445297504798,0.0687873927622422,0.1235954042740864,0.0641854593019427,0.0835038779471642,0.1108445297504798,0.0745222694668142
7,vit,0.1386756238003838,0.0138675623800383,0.1,0.0243573535608933,0.0192309286364255,0.1386756238003838,0.0337777119918339
8,mobilenetv2,0.0460652591170825,0.0046065259117082,0.1,0.0088073394495412,0.0021220080975239,0.0460652591170825,0.0040571237387522
