model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
efficientnetv2,0.8690019193857965,0.8542211146184144,0.8509513880875254,0.8491156577976666,0.8728593947604117,0.8690019193857965,0.8682172951815407
yolov8,0.8651631477927063,0.8533325302558868,0.8451506668403624,0.8482119272685761,0.8652891543849348,0.8651631477927063,0.8641488787108491
efficientnet_b0,0.8589251439539347,0.8478918296978444,0.8477361590566656,0.8474185747377516,0.8594545955421202,0.8589251439539347,0.8586324148461588
resnet50,0.4289827255278311,0.29098427003406024,0.28857030616639706,0.25600719034550545,0.3911169497817511,0.4289827255278311,0.36757350258984234
vgg16,0.11084452975047984,0.06878739276224223,0.12359540427408641,0.06418545930194276,0.08350387794716423,0.11084452975047984,0.07452226946681427
vit,0.13867562380038387,0.013867562380038386,0.1,0.024357353560893382,0.019230928636425594,0.13867562380038387,0.033777711991833916
mobilenetv2,0.046065259117082535,0.004606525911708253,0.1,0.008807339449541285,0.0021220080975239554,0.046065259117082535,0.004057123738752224
